"Date","Price","Open","High","Low","Vol.","Change %"
"04/12/2024","1.55","1.70","1.55","1.53","4.30M","-8.82%"
"04/08/2024","1.70","1.70","1.70","1.70","992.05K","0.00%"
"04/05/2024","1.70","1.76","1.70","1.70","395.69K","-3.41%"
"04/04/2024","1.76","1.70","1.76","1.71","1.67M","3.53%"
"04/03/2024","1.70","1.70","1.70","1.69","1.23M","0.00%"
"04/02/2024","1.70","1.60","1.72","1.47","3.75M","6.25%"
"03/28/2024","1.60","1.77","1.93","1.60","3.61M","-9.60%"
"03/27/2024","1.77","1.61","1.77","1.76","1.25M","9.94%"
"03/26/2024","1.61","1.75","1.80","1.61","3.03M","-8.00%"
"03/25/2024","1.75","1.76","1.76","1.75","1.39M","-0.57%"
"03/22/2024","1.76","1.76","1.76","1.75","1.35M","0.00%"
"03/21/2024","1.76","1.78","1.78","1.75","794.30K","-1.12%"
"03/20/2024","1.78","1.75","1.78","1.78","738.11K","1.71%"
"03/19/2024","1.75","1.77","1.76","1.62","5.26M","-1.13%"
"03/18/2024","1.77","1.62","1.78","1.65","1.65M","9.26%"
"03/15/2024","1.62","1.57","1.62","1.62","320.95K","3.18%"
"03/14/2024","1.57","1.57","1.65","1.57","155.00K","0.00%"
"03/13/2024","1.57","1.55","1.57","1.57","765.42K","1.29%"
"03/12/2024","1.55","1.50","1.65","1.40","2.05M","3.33%"
"03/11/2024","1.50","1.38","1.51","1.44","2.71M","8.70%"
"03/08/2024","1.38","1.53","1.61","1.38","3.81M","-9.80%"
"03/07/2024","1.53","1.70","1.55","1.53","4.23M","-10.00%"
"03/06/2024","1.70","1.77","1.70","1.70","649.48K","-3.95%"
"03/05/2024","1.77","1.80","1.77","1.70","2.06M","-1.67%"
"03/04/2024","1.80","1.65","1.80","1.80","1.12M","9.09%"
"03/01/2024","1.65","1.50","1.65","1.60","1.80M","10.00%"
"02/29/2024","1.50","1.45","1.50","1.50","2.30M","3.45%"
"02/28/2024","1.45","1.54","1.69","1.45","7.45M","-5.84%"
"02/27/2024","1.54","1.60","1.56","1.54","1.40M","-3.75%"
"02/26/2024","1.60","1.60","1.74","1.52","270.58K","0.00%"
