"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2024","0.60","0.60","0.62","0.57","94.65K","0.00%"
"03/15/2024","0.60","0.59","0.62","0.60","1.93M","1.69%"
"03/14/2024","0.59","0.59","0.61","0.59","3.44M","0.00%"
"03/13/2024","0.59","0.59","0.61","0.58","203.37K","0.00%"
"03/12/2024","0.59","0.60","0.59","0.58","1.20M","-1.67%"
"03/11/2024","0.60","0.59","0.60","0.56","2.48M","1.69%"
"03/08/2024","0.59","0.58","0.60","0.59","3.00M","1.72%"
"03/07/2024","0.58","0.63","0.58","0.58","500.88K","-7.94%"
"03/06/2024","0.63","0.60","0.63","0.55","3.70M","5.00%"
"03/05/2024","0.60","0.60","0.60","0.60","3.10M","0.00%"
"03/04/2024","0.60","0.65","0.60","0.60","267.85K","-7.69%"
"03/01/2024","0.65","0.65","0.70","0.61","138.05K","0.00%"
"02/29/2024","0.65","0.60","0.65","0.57","1.61M","8.33%"
"02/28/2024","0.60","0.65","0.60","0.60","5.10M","-7.69%"
"02/27/2024","0.65","0.63","0.65","0.62","4.66M","3.17%"
"02/26/2024","0.63","0.64","0.63","0.63","2.12M","-1.56%"
"02/23/2024","0.64","0.69","0.66","0.63","1.42M","-7.25%"
"02/22/2024","0.69","0.70","0.70","0.65","2.96M","-1.43%"
"02/21/2024","0.70","0.64","0.70","0.70","6.25M","9.38%"
"02/20/2024","0.64","0.68","0.66","0.64","1.16M","-5.88%"
"02/19/2024","0.68","0.70","0.73","0.65","5.69M","-2.86%"
"02/16/2024","0.70","0.70","0.75","0.70","883.00K","0.00%"
"02/15/2024","0.70","0.64","0.70","0.65","16.76M","9.38%"
"02/14/2024","0.64","0.63","0.64","0.61","4.09M","1.59%"
"02/13/2024","0.63","0.63","0.63","0.62","3.69M","0.00%"
"02/12/2024","0.63","0.61","0.63","0.61","3.98M","3.28%"
"02/09/2024","0.61","0.63","0.64","0.61","2.92M","-3.17%"
"02/08/2024","0.63","0.69","0.69","0.63","7.34M","-8.70%"
"02/07/2024","0.69","0.73","0.70","0.69","3.04M","-5.48%"
"02/06/2024","0.73","0.75","0.77","0.73","4.63M","-2.67%"
"02/05/2024","0.75","0.74","0.81","0.75","4.80M","1.35%"
"02/02/2024","0.74","0.68","0.74","0.64","1.88M","8.82%"
"02/01/2024","0.68","0.62","0.68","0.63","6.74M","9.68%"
"01/31/2024","0.62","0.68","0.68","0.62","10.50M","-8.82%"
"01/30/2024","0.68","0.75","0.75","0.68","11.21M","-9.33%"
"01/29/2024","0.75","0.78","0.78","0.75","4.53M","-3.85%"
"01/26/2024","0.78","0.79","0.84","0.75","10.66M","-1.27%"
"01/25/2024","0.79","0.74","0.79","0.73","4.81M","6.76%"
"01/24/2024","0.74","0.72","0.79","0.74","2.13M","2.78%"
"01/23/2024","0.72","0.80","0.78","0.72","5.92M","-10.00%"
"01/22/2024","0.80","0.77","0.80","0.77","6.19M","3.90%"
"01/19/2024","0.77","0.85","0.84","0.77","15.77M","-9.41%"
